Absolute Date (BC),North Germany (Effenberger 2018),North Germany (Kneisel et al 2020),Denmark (Andreasen 2020),Cultures,Netherland (Fokken/Fontijn 2013) ,Cultures,Poland (Czebreszuk 2013),Cultures,Hungary (Filatova 2022),Slovakia (Ilon/Marková 2013),Cultures
1500 – 1400,Middle Bronze Age – Period II – III (Ältere Bronzezeit),Older Bronze Age (Ältere Bronzezeit),Early Bronze Age,"Sögel-Wohlde (Western Holstein Group, Segeberg Group, Western Mecklenburg Group)",Middle Bronze Age B,"Drakenstein, Hoogkarspel Pottery",Middle Bronze Age,"Nordic (NW), Tumulus (SW), Trzciniec (W)",Middle Bronze Age/Late Bronze Age I,Early Bronze Age/Middle Bronze Age,"Koszider phase, late TEP, Vatya, Tumulus (Tápé, Egyek, Hajdúbagos), Gyulavarsánd, Piliny"
1400 – 1300,Middle Bronze Age – Period II – III,Older Bronze Age,Early Bronze Age,"Sögel-Wohlde (Western Holstein Group, Segeberg Group, Western Mecklenburg Group)",Middle Bronze Age B,"Drakenstein, Hoogkarspel Pottery",Late Bronze Age,"Urnfield (Lausitz/Lusatian), Tarnobrzeg (SE)",Late Bronze Age I,Middle Bronze Age,"Koszider phase, late TEP, Vatya, Tumulus (Tápé, Egyek, Hajdúbagos), Gyulavarsánd, Piliny"
1300 – 1200,Middle Bronze Age – Period II – III,Older Bronze Age,Early Bronze Age,"Sögel-Wohlde (Western Holstein Group, Segeberg Group, Western Mecklenburg Group)",Middle Bronze Age B,"Drakenstein, Hoogkarspel Pottery",Late Bronze Age,"Urnfield (Lausitz/Lusatian), Tarnobrzeg (SE)",Late Bronze Age I/Late Bronze Age II,Middle Bronze Age/Late Bronze Age,"Koszider phase, late TEP, Vatya, Tumulus (Tápé, Egyek, Hajdúbagos), Gyulavarsánd, Piliny"
1200 – 1100,Middle Bronze Age – Period II – III,Older Bronze Age,Early Bronze Age,"Sögel-Wohlde (Western Holstein Group, Segeberg Group, Western Mecklenburg Group)",Middle Bronze Age B,"Urnfield Culture (Ems Group, Lower Rhine Urnfield)",Late Bronze Age,"Urnfield (Lausitz/Lusatian), Tarnobrzeg (SE)",Late Bronze Age I/Late Bronze Age II,Middle Bronze Age/Late Bronze Age,"Koszider phase, Urnfield (NW Transdanubian, S-Transdanubian, Vál), late TEP, Vatya, Tumulus (Tápé, Egyek, Hajdúbagos), Gyulavarsánd, Piliny, Kyjatice, Suciu-de-Sus, Berkesz-Demecser, Gáva, Lausitz (N), Mezöcsát, Basarabi, Velatice, Čaka"
1100 – 1000,Late Bronze Age – Period IV – VI (Jüngere Bronzezeit),Younger Bronze Age (Jüngere Bronzezeit),Early Bronze Age,Urnfield,Late Bronze Age,"Urnfield Culture (Ems Group, Lower Rhine Urnfield)",Late Bronze Age,"Urnfield (Lausitz/Lusatian), Tarnobrzeg (SE)",Late Bronze Age II,Late Bronze Age,"Koszider phase, Urnfield (NW Transdanubian, S-Transdanubian, Vál), late TEP, Vatya, Tumulus (Tápé, Egyek, Hajdúbagos), Gyulavarsánd, Piliny, Kyjatice, Suciu-de-Sus, Berkesz-Demecser, Gáva, Lausitz (N), Mezöcsát, Basarabi, Velatice, Čaka"
1000 – 900,Late Bronze Age – Period IV – VI,Younger Bronze Age,Late Bronze Age,Urnfield,Late Bronze Age,"Urnfield Culture (Ems Group, Lower Rhine Urnfield)",Late Bronze Age,"Urnfield (Lausitz/Lusatian), Tarnobrzeg (SE)",Late Bronze Age II,Late Bronze Age,"Koszider phase, Urnfield (NW Transdanubian, S-Transdanubian, Vál), late TEP, Vatya, Tumulus (Tápé, Egyek, Hajdúbagos), Gyulavarsánd, Piliny, Kyjatice, Suciu-de-Sus, Berkesz-Demecser, Gáva, Lausitz (N), Mezöcsát, Basarabi, Velatice, Čaka"
900 – 800,Late Bronze Age – Period IV – VI,Younger Bronze Age,Late Bronze Age,Urnfield,Late Bronze Age,"Urnfield Culture (Ems Group, Lower Rhine Urnfield)",Late Bronze Age,"Urnfield (Lausitz/Lusatian), Tarnobrzeg (SE)",Late Bronze Age II,Late Bronze Age,"Koszider phase, Urnfield (NW Transdanubian, S-Transdanubian, Vál), late TEP, Vatya, Tumulus (Tápé, Egyek, Hajdúbagos), Gyulavarsánd, Piliny, Kyjatice, Suciu-de-Sus, Berkesz-Demecser, Gáva, Lausitz (N), Mezöcsát, Basarabi, Velatice, Čaka"
800 – 700,Late Bronze Age – Period IV – VI,Younger Bronze Age,Late Bronze Age,Urnfield,,,,,Late Bronze Age II/Early Iron Age,Late Bronze Age/Early Iron Age,"Koszider phase, Urnfield (NW Transdanubian, S-Transdanubian, Vál), late TEP, Vatya, Tumulus (Tápé, Egyek, Hajdúbagos), Gyulavarsánd, Piliny, Kyjatice, Suciu-de-Sus, Berkesz-Demecser, Gáva, Lausitz (N), Mezöcsát, Basarabi, Velatice, Čaka"
700 – 600,Late Bronze Age – Period IV – VI,Younger Bronze Age,Late Bronze Age,Urnfield,,,,,,,
600 – 500,,Younger Bronze Age,Late Bronze Age,Urnfield,,,,,,,
